------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[ 83] local 10.1.0.1 port 5001 connected with 10.3.0.1 port 54858
[ 84] local 10.1.0.1 port 5001 connected with 10.4.0.2 port 41932
[ 80] local 10.1.0.1 port 5001 connected with 10.2.0.1 port 39592
[ 81] local 10.1.0.1 port 5001 connected with 10.1.0.2 port 47354
[ 82] local 10.1.0.1 port 5001 connected with 10.2.0.2 port 58710
[ 85] local 10.1.0.1 port 5001 connected with 10.7.0.1 port 50944
[ 86] local 10.1.0.1 port 5001 connected with 10.4.0.1 port 40386
[ 88] local 10.1.0.1 port 5001 connected with 10.5.0.1 port 51106
[ 87] local 10.1.0.1 port 5001 connected with 10.7.0.2 port 33478
[ 89] local 10.1.0.1 port 5001 connected with 10.5.0.2 port 43520
[ 90] local 10.1.0.1 port 5001 connected with 10.6.0.2 port 48444
[ ID] Interval       Transfer     Bandwidth
[ 87]  9.0-10.0 sec   444 KBytes  3.64 Mbits/sec
[ 89]  9.0-10.0 sec   546 KBytes  4.47 Mbits/sec
[ 90]  9.0-10.0 sec   940 KBytes  7.70 Mbits/sec
[ 91]  8.0- 9.0 sec  82.0 KBytes   672 Kbits/sec
[ 92]  8.0- 9.0 sec   508 KBytes  4.16 Mbits/sec
[ 80] 10.0-11.0 sec  2.23 MBytes  18.7 Mbits/sec
[ 81] 10.0-11.0 sec   291 KBytes  2.39 Mbits/sec
[ 83] 10.0-11.0 sec   452 KBytes  3.71 Mbits/sec
[ 86] 10.0-11.0 sec  1.09 MBytes  9.17 Mbits/sec
[ 88] 10.0-11.0 sec   164 KBytes  1.34 Mbits/sec
[ 84] 10.0-11.0 sec   366 KBytes  3.00 Mbits/sec
[ 82] 10.0-11.0 sec   368 KBytes  3.01 Mbits/sec
[ 89] 10.0-11.0 sec   537 KBytes  4.40 Mbits/sec
[ 87] 10.0-11.0 sec   605 KBytes  4.96 Mbits/sec
[ 90] 10.0-11.0 sec   102 KBytes   834 Kbits/sec
[ 85] 10.0-11.0 sec   462 KBytes  3.79 Mbits/sec
[ 91]  9.0-10.0 sec   718 KBytes  5.88 Mbits/sec
[ 92]  9.0-10.0 sec   433 KBytes  3.54 Mbits/sec
[ 83] 11.0-12.0 sec   612 KBytes  5.02 Mbits/sec
[ 84] 11.0-12.0 sec   728 KBytes  5.97 Mbits/sec
[ 80] 11.0-12.0 sec   816 KBytes  6.68 Mbits/sec
[ 85] 11.0-12.0 sec   444 KBytes  3.64 Mbits/sec
[ 81] 11.0-12.0 sec   566 KBytes  4.63 Mbits/sec
[ 82] 11.0-12.0 sec   240 KBytes  1.97 Mbits/sec
[ 86] 11.0-12.0 sec  46.7 KBytes   382 Kbits/sec
[ 87] 11.0-12.0 sec   143 KBytes  1.17 Mbits/sec
[ 89] 11.0-12.0 sec   872 KBytes  7.15 Mbits/sec
[ 90] 11.0-12.0 sec   564 KBytes  4.62 Mbits/sec
[ 91] 10.0-11.0 sec   530 KBytes  4.34 Mbits/sec
[ 92] 10.0-11.0 sec  84.8 KBytes   695 Kbits/sec
[ 88] 11.0-12.0 sec   491 KBytes  4.02 Mbits/sec
[ 80] 12.0-13.0 sec   707 KBytes  5.79 Mbits/sec
[ 83] 12.0-13.0 sec   334 KBytes  2.73 Mbits/sec
[ 86] 12.0-13.0 sec   544 KBytes  4.46 Mbits/sec
[ 85] 12.0-13.0 sec   304 KBytes  2.49 Mbits/sec
[ 88] 12.0-13.0 sec   240 KBytes  1.97 Mbits/sec
[ 81] 12.0-13.0 sec  1.14 MBytes  9.56 Mbits/sec
[ 89] 12.0-13.0 sec   839 KBytes  6.87 Mbits/sec
[ 90] 12.0-13.0 sec   392 KBytes  3.21 Mbits/sec
[ 87] 12.0-13.0 sec   356 KBytes  2.92 Mbits/sec
[ 82] 12.0-13.0 sec   385 KBytes  3.15 Mbits/sec
[ 92] 11.0-12.0 sec   344 KBytes  2.81 Mbits/sec
[ 84] 12.0-13.0 sec  1.07 MBytes  9.01 Mbits/sec
[ 91] 11.0-12.0 sec   215 KBytes  1.76 Mbits/sec
[ 83] 13.0-14.0 sec   676 KBytes  5.54 Mbits/sec
[ 80] 13.0-14.0 sec  1.85 MBytes  15.5 Mbits/sec
[ 81] 13.0-14.0 sec   662 KBytes  5.42 Mbits/sec
[ 82] 13.0-14.0 sec   836 KBytes  6.85 Mbits/sec
[ 84] 13.0-14.0 sec   164 KBytes  1.34 Mbits/sec
[ 88] 13.0-14.0 sec   894 KBytes  7.32 Mbits/sec
[ 85] 13.0-14.0 sec   219 KBytes  1.80 Mbits/sec
[ 86] 13.0-14.0 sec   642 KBytes  5.26 Mbits/sec
[ 87] 13.0-14.0 sec   329 KBytes  2.70 Mbits/sec
[ 90] 13.0-14.0 sec   202 KBytes  1.66 Mbits/sec
[ 89] 13.0-14.0 sec   230 KBytes  1.89 Mbits/sec
[ 91] 12.0-13.0 sec   157 KBytes  1.29 Mbits/sec
[ 92] 12.0-13.0 sec   499 KBytes  4.09 Mbits/sec
[ 83] 14.0-15.0 sec   397 KBytes  3.26 Mbits/sec
[ 84] 14.0-15.0 sec   557 KBytes  4.56 Mbits/sec
[ 80] 14.0-15.0 sec   939 KBytes  7.69 Mbits/sec
[ 81] 14.0-15.0 sec   380 KBytes  3.12 Mbits/sec
[ 86] 14.0-15.0 sec   465 KBytes  3.81 Mbits/sec
[ 88] 14.0-15.0 sec  2.17 MBytes  18.2 Mbits/sec
[ 82] 14.0-15.0 sec   120 KBytes   985 Kbits/sec
[ 85] 14.0-15.0 sec  1.27 MBytes  10.6 Mbits/sec
[ 87] 14.0-15.0 sec   163 KBytes  1.33 Mbits/sec
[ 89] 14.0-15.0 sec   161 KBytes  1.32 Mbits/sec
[ 90] 14.0-15.0 sec   352 KBytes  2.88 Mbits/sec
[ 91] 13.0-14.0 sec   469 KBytes  3.85 Mbits/sec
[ 92] 13.0-14.0 sec   284 KBytes  2.33 Mbits/sec
[ 84] 15.0-16.0 sec   158 KBytes  1.30 Mbits/sec
[ 80] 15.0-16.0 sec   315 KBytes  2.58 Mbits/sec
[ 81] 15.0-16.0 sec   915 KBytes  7.49 Mbits/sec
[ 85] 15.0-16.0 sec   498 KBytes  4.08 Mbits/sec
[ 88] 15.0-16.0 sec   725 KBytes  5.94 Mbits/sec
[ 83] 15.0-16.0 sec  76.4 KBytes   626 Kbits/sec
[ 90] 15.0-16.0 sec   556 KBytes  4.55 Mbits/sec
[ 86] 15.0-16.0 sec   880 KBytes  7.21 Mbits/sec
[ 89] 15.0-16.0 sec   269 KBytes  2.20 Mbits/sec
[ 91] 14.0-15.0 sec   342 KBytes  2.80 Mbits/sec
[ 92] 14.0-15.0 sec  1.05 MBytes  8.80 Mbits/sec
[ 82] 15.0-16.0 sec   286 KBytes  2.34 Mbits/sec
[ 87] 15.0-16.0 sec   520 KBytes  4.26 Mbits/sec
[ 83] 16.0-17.0 sec  1.35 MBytes  11.4 Mbits/sec
[ 84] 16.0-17.0 sec   337 KBytes  2.76 Mbits/sec
[ 80] 16.0-17.0 sec  3.39 MBytes  28.5 Mbits/sec
[ 81] 16.0-17.0 sec   597 KBytes  4.89 Mbits/sec
[ 82] 16.0-17.0 sec  67.9 KBytes   556 Kbits/sec
[ 86] 16.0-17.0 sec   195 KBytes  1.60 Mbits/sec
[ 88] 16.0-17.0 sec   124 KBytes  1.02 Mbits/sec
[ 85] 16.0-17.0 sec   628 KBytes  5.14 Mbits/sec
[ 87] 16.0-17.0 sec   297 KBytes  2.43 Mbits/sec
[ 89] 16.0-17.0 sec   734 KBytes  6.01 Mbits/sec
[ 90] 16.0-17.0 sec   230 KBytes  1.89 Mbits/sec
[ 91] 15.0-16.0 sec   223 KBytes  1.83 Mbits/sec
[ 80] 17.0-18.0 sec   628 KBytes  5.14 Mbits/sec
[ 81] 17.0-18.0 sec  6.80 MBytes  57.0 Mbits/sec
[ 88] 17.0-18.0 sec   256 KBytes  2.10 Mbits/sec
[ 83] 17.0-18.0 sec   134 KBytes  1.10 Mbits/sec
[ 82] 17.0-18.0 sec   314 KBytes  2.57 Mbits/sec
[ 85] 17.0-18.0 sec   378 KBytes  3.09 Mbits/sec
[ 84] 17.0-18.0 sec   467 KBytes  3.82 Mbits/sec
[ 87] 17.0-18.0 sec   175 KBytes  1.44 Mbits/sec
[ 91] 16.0-17.0 sec   239 KBytes  1.96 Mbits/sec
[ 90] 17.0-18.0 sec   235 KBytes  1.92 Mbits/sec
[ 86] 17.0-18.0 sec   165 KBytes  1.36 Mbits/sec
[ 81] 18.0-19.0 sec  10.1 MBytes  84.6 Mbits/sec
[ 84] 18.0-19.0 sec   136 KBytes  1.11 Mbits/sec
[ 86] 18.0-19.0 sec  55.1 KBytes   452 Kbits/sec
[ 83] 18.0-19.0 sec   132 KBytes  1.08 Mbits/sec
[ 90] 18.0-19.0 sec   106 KBytes   869 Kbits/sec
[ 87] 18.0-19.0 sec   288 KBytes  2.36 Mbits/sec
[ 80] 18.0-19.0 sec   202 KBytes  1.66 Mbits/sec
[ 91] 17.0-18.0 sec   236 KBytes  1.93 Mbits/sec
[ 85] 18.0-19.0 sec   141 KBytes  1.16 Mbits/sec
[ 82] 18.0-19.0 sec  83.4 KBytes   683 Kbits/sec
[ 88] 18.0-19.0 sec   167 KBytes  1.37 Mbits/sec
[ 92] 15.0-16.0 sec  56.6 KBytes   463 Kbits/sec
[ 92] 16.0-17.0 sec  0.00 Bytes  0.00 bits/sec
[ 92] 17.0-18.0 sec  0.00 Bytes  0.00 bits/sec
